%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.NumSat,field.latitude,field.longitude,field.altitude,field.speed,field.ground_course,field.covariance
1511905034642533931,49,1511905034639308929,/gps,1,12,40.2679485,-111.634477667,1498.5,0.206292222222,0.0,0.5929
1511905034840258462,50,1511905034836915016,/gps,1,12,40.267949,-111.634477833,1498.5,0.224297777778,0.0,0.5929
1511905035041142212,51,1511905035036520957,/gps,1,12,40.2679495,-111.634478,1498.5,0.240245555555,0.0,0.5929
1511905035239379400,52,1511905035237293958,/gps,1,12,40.2679501667,-111.6344785,1498.6,0.336961111111,0.0,0.5929
1511905035440423098,53,1511905035438230037,/gps,1,12,40.2679506667,-111.634478833,1498.7,0.321527777777,0.0,0.49
1511905035640705545,54,1511905035638447046,/gps,1,12,40.2679508333,-111.634479167,1498.9,0.174396666667,0.0,0.4096
1511905035843806118,55,1511905035841475963,/gps,1,12,40.267951,-111.6344795,1499.0,0.130668888889,0.0,0.4096
1511905036041005077,56,1511905036037970066,/gps,1,12,40.267951,-111.634479667,1499.2,0.0668777777777,0.0,0.4096
1511905036243336847,57,1511905036240039110,/gps,1,12,40.2679506667,-111.634479333,1499.3,0.126553333333,0.0,0.4225
1511905036442570024,58,1511905036438169956,/gps,1,12,40.2679503333,-111.634479167,1499.5,0.188286666667,0.0,0.4225
1511905036645509451,59,1511905036638297080,/gps,1,12,40.2679495,-111.634480167,1499.5,0.197546666666,0.0,0.4096
1511905036842868253,60,1511905036839128971,/gps,1,12,40.267949,-111.63448,1499.4,0.107518888889,0.0,0.4096
1511905037042393514,61,1511905037040267944,/gps,1,12,40.2679485,-111.634480667,1499.4,0.0601899999999,0.0,0.4096
1511905037242469191,62,1511905037238634109,/gps,1,12,40.2679476667,-111.634482167,1499.5,0.113692222222,0.0,0.4096
1511905037439636430,63,1511905037435305118,/gps,1,12,40.2679471667,-111.634483167,1499.6,0.0920855555555,0.0,0.4096
1511905037642387211,64,1511905037639478921,/gps,1,12,40.2679468333,-111.634484333,1499.7,0.0987733333332,0.0,0.4096
1511905037842285284,65,1511905037839174985,/gps,1,12,40.2679468333,-111.6344845,1499.8,0.112148888889,0.0,0.4096
1511905038040110128,66,1511905038038109064,/gps,1,12,40.2679468333,-111.634484667,1499.9,0.190344444444,0.0,0.4096
1511905038241379659,67,1511905038238859891,/gps,1,12,40.2679468333,-111.634484667,1499.9,0.0216066666666,0.0,0.4096
1511905038443288253,68,1511905038440004110,/gps,1,12,40.267947,-111.634484667,1500.0,0.0658488888888,0.0,0.4096
1511905038639584451,69,1511905038638294935,/gps,1,12,40.267947,-111.634484667,1500.0,0.0473288888888,0.0,0.4096
1511905038835320284,70,1511905038833918094,/gps,1,12,40.2679471667,-111.634484333,1499.9,0.0318955555555,0.0,0.4096
1511905039039700961,71,1511905039038080930,/gps,1,12,40.2679471667,-111.634484,1499.9,0.0437277777777,0.0,0.4096
1511905039239758565,72,1511905039237926006,/gps,1,12,40.2679473333,-111.634483667,1499.8,0.0694499999999,0.0,0.4096
1511905039442666325,73,1511905039439508914,/gps,1,12,40.2679475,-111.6344835,1499.8,0.0807677777777,0.0,0.4096
1511905039639560961,74,1511905039637753963,/gps,1,12,40.2679475,-111.634483333,1499.7,0.0828255555555,0.0,0.4096
1511905039840243929,75,1511905039838474988,/gps,1,12,40.2679473333,-111.634483167,1499.7,0.0925999999999,0.0,0.4096
1511905040043481325,76,1511905040038271903,/gps,1,12,40.267947,-111.634483,1499.6,0.0303522222222,0.0,0.4096
1511905040236634710,77,1511905040234246969,/gps,1,12,40.2679471667,-111.634483,1499.6,0.0735655555555,0.0,0.4096
1511905040444020075,78,1511905040439384937,/gps,1,12,40.2679471667,-111.634482833,1499.5,0.0992877777777,0.0,0.4096
1511905040646220491,79,1511905040639801025,/gps,1,12,40.2679471667,-111.634482333,1499.4,0.0715077777777,0.0,0.4096
1511905040844995387,80,1511905040842713117,/gps,1,12,40.267947,-111.634482167,1499.4,0.130668888889,0.0,0.4096
1511905041041312366,81,1511905041038542032,/gps,1,12,40.267947,-111.634482,1499.3,0.0252077777778,0.0,0.4096
1511905041243761793,82,1511905041240216970,/gps,1,12,40.2679468333,-111.634482167,1499.3,0.0998022222221,0.0,0.4096
1511905041440770022,83,1511905041438889026,/gps,1,12,40.2679466667,-111.6344825,1499.2,0.0998022222221,0.0,0.4096
1511905041639881168,84,1511905041634768962,/gps,1,12,40.2679466667,-111.634482667,1499.2,0.0195488888889,0.0,0.4096
1511905041845709293,85,1511905041838819026,/gps,1,12,40.2679466667,-111.634482833,1499.2,0.0617333333333,0.0,0.4096
1511905042040031324,86,1511905042036904096,/gps,1,12,40.2679466667,-111.634482833,1499.1,0.0807677777777,0.0,0.4096
1511905042239293408,87,1511905042237143993,/gps,1,12,40.2679466667,-111.634483,1499.1,0.0108033333333,0.0,0.4096
1511905042441326949,88,1511905042437922954,/gps,1,12,40.2679465,-111.634483167,1499.0,0.082311111111,0.0,0.4096
1511905042641277470,89,1511905042639916896,/gps,1,12,40.2679465,-111.634483167,1499.0,0.0385833333333,0.0,0.4096
1511905042840441324,90,1511905042837549924,/gps,1,12,40.2679463333,-111.6344835,1499.0,0.077681111111,0.0,0.4096
1511905043034280751,91,1511905043033139944,/gps,1,12,40.2679461667,-111.6344835,1499.0,0.196003333333,0.0,0.4096
1511905043240198303,92,1511905043238930940,/gps,1,12,40.2679461667,-111.634483333,1498.9,0.0504155555555,0.0,0.4096
1511905043439504918,93,1511905043438328027,/gps,1,12,40.2679463333,-111.634483167,1498.9,0.0540166666666,0.0,0.4096
1511905043638111167,94,1511905043637087106,/gps,1,12,40.2679465,-111.634482833,1498.8,0.0992877777777,0.0,0.4096
1511905043838768303,95,1511905043836329936,/gps,1,12,40.2679466667,-111.634482833,1498.7,0.0900277777777,0.0,0.4096
1511905044040500490,96,1511905044037739038,/gps,1,12,40.2679468333,-111.634482833,1498.7,0.0571033333333,0.0,0.4096
1511905044241059969,97,1511905044238399982,/gps,1,12,40.267947,-111.634482833,1498.7,0.03704,0.0,0.4096
1511905044437020282,98,1511905044434494018,/gps,1,12,40.2679471667,-111.634482667,1498.7,0.128096666667,0.0,0.4096
1511905044639057782,99,1511905044637777090,/gps,1,12,40.2679475,-111.634482667,1498.6,0.0977444444444,0.0,0.4096
1511905044840284917,100,1511905044838788032,/gps,1,12,40.2679476667,-111.634482833,1498.6,0.02315,0.0,0.4096
1511905045044638094,101,1511905045038319110,/gps,1,12,40.2679476667,-111.634482833,1498.6,0.0591611111111,0.0,0.4096
1511905045240651115,102,1511905045238352060,/gps,1,12,40.2679476667,-111.634482833,1498.6,0.0781955555555,0.0,0.4096
1511905045440191167,103,1511905045438272953,/gps,1,12,40.2679478333,-111.634482667,1498.5,0.16205,0.0,0.4096
1511905045640405646,104,1511905045638395071,/gps,1,12,40.267948,-111.634482333,1498.5,0.153304444444,0.0,0.4096
1511905045840321583,105,1511905045834439039,/gps,1,12,40.2679483333,-111.634482,1498.4,0.0910566666666,0.0,0.4225
1511905046043213667,106,1511905046038300037,/gps,1,12,40.2679485,-111.634481667,1498.4,0.0565888888888,0.0,0.4225
1511905046243550541,107,1511905046238568067,/gps,1,12,40.2679486667,-111.634481667,1498.4,0.0365255555555,0.0,0.4096
1511905046441902677,108,1511905046439420938,/gps,1,12,40.2679488333,-111.6344815,1498.3,0.0874555555555,0.0,0.4225
1511905046641426218,109,1511905046638123035,/gps,1,12,40.267949,-111.6344815,1498.3,0.0390977777777,0.0,0.4096
1511905046839381375,110,1511905046837503910,/gps,1,12,40.2679491667,-111.634481333,1498.3,0.121408888889,0.0,0.4096
1511905047040749552,111,1511905047038316965,/gps,1,12,40.2679493333,-111.634481333,1498.3,0.0637911111111,0.0,0.4096
1511905047237807260,112,1511905047235418081,/gps,1,12,40.2679493333,-111.6344815,1498.3,0.149188888889,0.0,0.4096
1511905047442273822,113,1511905047439884901,/gps,1,12,40.2679493333,-111.634481667,1498.2,0.0694499999999,0.0,0.4096
1511905047641013926,114,1511905047638420104,/gps,1,12,40.2679493333,-111.6344815,1498.2,0.0848833333333,0.0,0.4096
1511905047841878874,115,1511905047840594053,/gps,1,12,40.2679495,-111.6344815,1498.2,0.0349822222222,0.0,0.4096
1511905048041277312,116,1511905048038230895,/gps,1,12,40.2679496667,-111.634481333,1498.1,0.01852,0.0,0.4096
1511905048238384395,117,1511905048237139940,/gps,1,12,40.2679495,-111.634481333,1498.1,0.0941433333333,0.0,0.4096
1511905048441147207,118,1511905048437860012,/gps,1,12,40.2679495,-111.634481333,1498.1,0.0246933333333,0.0,0.4096
1511905048639179707,119,1511905048638062953,/gps,1,12,40.2679496667,-111.634481,1498.0,0.0601899999999,0.0,0.4096
